PC1,PC2,label
-0.449805,1.058776,5
-3.855977,1.466418,0
0.131322,-1.434874,4
3.252274,2.380439,1
1.389054,-2.970662,9
-0.687217,-0.590328,2
2.842455,0.417513,1
-1.991246,0.942858,3
3.402569,0.174426,1
1.205951,-1.548655,4
0.628687,2.139630,3
2.487105,1.153648,5
-1.105203,2.721640,3
-0.879022,-0.143187,6
3.410085,0.776967,1
0.456708,-3.306031,7
-0.343730,0.163527,2
1.617134,1.004146,8
0.843677,0.773229,6
3.095461,-0.415273,9
-1.421005,-1.829182,4
-3.958346,1.658273,0
2.558147,-0.744021,9
3.270460,2.063067,1
1.129331,1.240348,1
-2.873457,4.067756,2
2.262748,-1.903304,4
-3.086692,1.938298,3
-1.477852,-0.981161,2
2.569807,-0.357541,7
1.076380,-0.025447,3
1.037776,2.641487,8
0.069771,-0.121069,6
2.411315,-0.763360,9
-2.287094,1.076544,0
2.411874,0.861653,5
-0.155913,1.041184,6
-3.523315,1.348228,0
1.231602,-2.278025,7
-0.954997,-0.868109,6
3.940548,1.197964,1
0.741393,1.145834,8
2.854013,-1.582473,7
2.667005,-0.215300,9
1.830561,-0.274518,3
0.884268,-3.573687,9
0.860197,0.007966,8
1.079794,0.696370,5
0.980805,-0.160795,9
-0.983137,2.526410,3
0.337287,2.736462,3
-6.533632,0.387112,0
-1.218360,-4.224089,7
2.986422,0.534888,4
0.546948,-3.361233,9
0.661908,-0.765016,8
-5.222188,0.036143,0
2.094424,-2.400531,9
-1.236590,-2.716022,4
3.173090,2.900741,1
-1.755279,-1.269395,4
2.445578,0.220353,4
-1.003660,1.566335,6
-4.659771,1.072595,0
-2.302573,-1.679728,4
2.415853,1.686984,5
-0.846942,1.234027,6
3.792692,2.019304,1
-0.779855,2.043178,0
-4.833076,0.513646,0
0.949963,1.976923,1
1.577335,-1.511914,7
3.679119,1.098787,1
0.492709,0.938327,6
0.166865,0.845280,3
-3.240199,1.607438,0
1.402389,3.274444,2
3.538073,2.776837,1
3.644980,1.912716,1
1.768827,-0.962190,7
-1.998137,1.580588,9
-4.111722,0.917833,0
-3.896255,2.542711,2
-0.753018,0.553179,6
0.944226,-2.933199,7
0.757516,1.249899,8
0.974590,-0.180732,3
0.530919,-3.494589,9
-4.631445,1.362122,0
-0.314590,-3.088162,4
-2.127009,-0.308875,6
0.509416,-2.510255,7
