PC1,PC2,label
-0.486010,1.226133,5
-3.967523,1.157224,0
0.203332,-1.538223,4
3.133832,2.381589,1
1.500999,-2.864850,9
-0.723407,-0.867052,2
2.849075,0.615245,1
-2.013117,1.218553,3
3.407478,0.319586,1
1.195022,-1.824798,4
0.573343,2.522846,3
2.407213,0.954939,5
-1.097724,3.255886,3
-0.940946,-0.590095,6
3.388469,0.900875,1
0.537360,-3.421369,7
-0.366091,-0.010855,2
1.516694,0.991165,8
0.824018,0.775654,6
3.082580,-0.306111,9
-1.327065,-1.964654,4
-4.069221,1.392691,0
2.547707,-0.790559,9
3.167511,2.069859,1
1.051732,1.131643,1
-3.008024,4.134164,2
2.367048,-1.673906,4
-3.100572,2.406180,3
-1.407757,-0.836177,2
2.548442,-0.480839,7
1.137158,0.205123,3
0.859661,2.512418,8
0.058739,-0.346667,6
2.400089,-0.726971,9
-2.393304,0.941392,0
2.341189,0.776201,5
-0.222911,0.913656,6
-3.662273,0.955546,0
1.335159,-2.268539,7
-0.968151,-1.143659,6
3.895313,1.360326,1
0.675034,1.307605,8
2.932290,-1.396637,7
2.664100,-0.010328,9
1.917233,0.095055,3
1.022475,-3.404621,9
0.897482,0.277387,8
0.991213,0.601964,5
1.057584,0.199041,9
-1.055953,2.928044,3
0.281860,2.978254,3
-6.525339,0.355882,0
-1.010883,-4.040778,7
2.949864,0.576383,4
0.695614,-3.210181,9
0.653888,-0.639058,8
-5.189315,-0.041620,0
2.156506,-2.340334,9
-1.058498,-2.462533,4
3.041664,2.937461,1
-1.710694,-1.713691,4
2.407490,0.190374,4
-1.091365,1.484462,6
-4.715933,1.016052,0
-2.262725,-2.052136,4
2.315734,1.561581,5
-0.952246,0.918931,6
3.700420,2.067960,1
-0.807901,2.070535,0
-4.830926,0.603373,0
0.887918,2.018018,1
1.593109,-1.620293,7
3.632023,1.147101,1
0.384539,0.556553,6
0.219984,1.380903,3
-3.314759,1.631758,0
1.344549,3.582689,2
3.413343,2.849993,1
3.537585,1.923966,1
1.759585,-1.039098,7
-2.016256,1.619979,9
-4.180434,0.875610,0
-4.005890,2.204458,2
-0.841824,0.129785,6
1.090390,-2.734355,7
0.704802,1.461210,8
1.050368,0.084381,3
0.609501,-3.602471,9
-4.616592,1.338118,0
-0.266413,-3.462220,4
-2.171057,-0.828464,6
0.571995,-2.582324,7
0.726250,-2.203038,4
-0.640102,0.902245,6
0.798270,0.587172,8
-4.846456,0.727994,0
2.581516,-2.323984,7
0.536634,0.561593,8
0.622789,1.759261,3
3.638668,1.564822,1
1.225468,-0.568401,5
0.163288,-2.828317,7
3.399776,1.176352,1
1.239568,-3.130258,7
2.814570,0.131178,1
3.442738,3.228670,1
-1.845410,0.405258,6
-1.006271,2.522106,3
-1.757965,1.633087,0
0.728220,-0.669018,2
-0.253587,-2.338770,9
-2.929560,-0.832715,3
3.905087,1.081166,1
3.065926,3.537353,1
-5.376724,0.000955,0
0.633876,-3.242471,4
0.236251,-4.045239,9
-2.481388,2.337159,2
-3.106962,1.074324,0
-5.378660,1.374024,0
-2.263969,-0.855641,2
-6.045502,3.068436,0
1.339123,1.958897,2
0.679335,-2.827560,7
3.642274,1.394786,1
0.822451,2.198783,8
-1.231267,0.121865,6
0.985183,-1.253086,4
3.620688,1.776258,1
0.369020,1.665369,6
1.140302,1.516062,3
0.307099,-2.328336,4
2.079081,1.190431,5
2.925450,-1.376134,9
0.904412,-0.596717,1
-0.019145,2.480128,3
1.362262,1.828533,3
2.180087,2.049264,8
-2.176069,2.629790,5
0.935574,-2.105994,4
2.651385,0.048752,7
2.033437,-0.266282,7
1.082158,-2.583453,4
0.974679,-0.466491,2
1.324269,1.167603,8
1.501396,-0.026006,5
-0.205676,2.526668,8
0.587614,-0.806632,6
