PC1,PC2,label
-0.406459,0.616980,5
-3.001684,2.100096,0
-0.117771,-0.903808,4
3.627975,1.810339,1
0.877744,-3.259384,9
-0.236128,-0.340025,2
2.603740,-0.133107,1
-2.096254,0.323369,3
3.205857,-0.310219,1
1.573148,-1.495907,4
0.535271,1.136455,3
2.914744,1.209693,5
-1.709473,2.232433,3
-0.130611,0.429649,6
3.329889,0.290029,1
0.283655,-3.216765,7
-0.137430,0.525991,2
2.087852,0.258920,8
0.918300,0.746277,6
3.060929,-1.164265,9
-1.729172,-1.109410,4
-3.163984,2.269015,0
2.649841,-1.133365,9
3.573732,1.521803,1
1.555225,1.139966,1
-2.449015,4.046411,2
1.596952,-2.308157,4
-3.443257,1.297702,3
-1.940185,-0.857431,2
2.730283,-0.489844,7
0.551353,-0.153575,3
1.907659,2.069615,8
0.348686,0.323088,6
2.433078,-1.342715,9
-1.551166,0.854672,0
2.754391,0.594952,5
0.338051,0.927879,6
-2.420451,1.760741,0
0.761109,-2.124086,7
-0.522531,-0.551568,6
3.919100,0.480808,1
0.918298,0.311625,8
2.328928,-1.967931,7
2.505733,-1.056005,9
1.051937,-0.670333,3
0.241219,-3.954442,9
0.421084,-0.450465,8
1.595992,0.286154,5
0.296084,-0.523167,9
-1.001902,1.572012,3
0.278226,2.421655,3
-6.482480,1.280831,0
-2.200952,-3.916170,7
3.078843,0.038191,4
-0.183568,-3.450953,9
0.647131,-1.520269,8
-5.301393,1.093269,0
1.841802,-2.902443,9
-2.219558,-2.594772,4
3.571110,2.278937,1
-1.646966,0.234945,4
2.623288,-0.208459,4
-0.445703,1.358950,6
-4.252437,1.389941,0
-2.073263,-0.634531,4
2.891867,1.496454,5
0.001432,1.443330,6
4.033318,1.433603,1
-0.856971,2.574003,0
-4.797223,0.706537,0
1.129937,1.846140,1
1.628275,-1.572473,7
3.756472,0.680111,1
1.357474,1.136054,6
-0.548781,0.083458,3
-2.850233,1.586036,0
1.200914,2.808242,2
3.886208,2.060806,1
3.984791,1.225833,1
1.882104,-1.203953,7
-2.011842,1.943101,9
-3.603818,0.923843,0
-3.166117,3.447678,2
0.072555,1.063613,6
0.142800,-3.020052,7
0.794835,0.474335,8
0.351870,-0.274778,3
0.414099,-3.617517,9
-4.783560,2.489571,0
-0.078315,-2.536228,4
-1.374531,0.663425,6
0.376223,-2.461666,7
0.099272,-1.978889,4
0.278409,1.283551,6
1.031889,-0.189408,8
-4.212779,1.213809,0
1.971498,-2.959404,7
0.789280,-0.276248,8
-0.226193,0.524610,3
3.823755,0.968063,1
1.200688,-0.799169,5
-0.284142,-2.696042,7
3.482429,0.629633,1
0.700817,-3.239962,7
2.623038,-0.307336,1
4.162506,2.487024,1
-1.647239,0.857222,6
-0.794171,1.831194,3
-1.660670,2.591221,0
0.837974,-0.076562,2
-1.136344,-2.345195,9
-3.844177,-1.356145,3
3.943065,0.401884,1
3.864071,2.890033,1
-5.161237,1.353658,0
0.458603,-3.064660,4
-0.640246,-4.255727,9
-1.900550,2.837697,2
-2.736376,1.864954,0
-4.108590,2.505115,0
-2.846680,-0.638623,2
-5.583048,4.566589,0
2.027643,2.329686,2
0.510881,-2.443448,7
3.702104,0.817469,1
1.206280,1.162437,8
-0.975179,0.704570,6
1.578014,-0.615718,4
3.769802,0.675513,1
1.415211,1.477493,6
0.478443,0.268625,3
0.610199,-1.943073,4
2.112766,0.390230,5
2.410767,-2.469905,9
0.093634,-0.940361,1
0.193489,1.409755,3
0.545337,0.822939,3
2.747024,1.050236,8
-1.712146,2.798900,5
1.219246,-1.855189,4
2.371439,-0.480169,7
2.241610,-0.548686,7
0.491142,-2.520020,4
0.895026,-0.197011,2
0.894904,0.690954,8
2.065941,0.332036,5
0.695597,2.533480,8
1.246924,-0.493899,6
1.520160,-1.327086,7
-2.113169,1.135426,3
1.585319,-0.479620,4
-0.377444,0.200567,6
3.804921,1.704875,1
2.491352,-1.621372,9
-0.849145,-2.959221,9
0.426097,0.752132,6
-2.759732,1.293634,0
-0.414678,1.148074,3
-0.427537,-0.631263,7
-0.334376,0.921111,2
0.678661,-1.085012,8
-1.740688,3.537732,2
-0.030793,-3.463212,9
1.913934,-0.971771,4
-2.976026,-1.347490,4
0.512412,1.016530,6
1.461242,-2.193831,4
0.213799,-3.298122,9
2.459597,-0.679439,7
-3.503896,1.285407,0
-0.299515,-3.725826,9
-0.993502,1.495664,2
-0.855818,-3.712857,9
3.126452,0.956274,5
3.901882,0.757324,1
1.871842,0.703544,5
1.174193,-2.636300,9
4.100808,1.306668,1
-0.655623,1.165163,2
-2.875986,0.701593,3
2.888033,0.889925,2
-1.454509,-2.244227,3
-2.567330,2.117122,5
0.421353,-4.248692,9
3.112378,0.222119,1
-0.373661,-2.701417,7
0.290530,0.903836,6
-1.075616,5.249353,2
-0.974415,-0.781098,8
-0.232810,0.766162,2
0.645381,3.651614,2
2.188610,0.564598,5
-3.973868,2.013222,0
-0.058184,-2.395837,7
-2.230439,-2.993267,4
1.291537,-1.888996,9
-2.696974,-3.377083,7
2.352833,1.362243,8
0.262410,1.780608,3
0.053639,-0.788134,2
2.687823,-0.221158,1
3.368890,1.368632,1
1.617372,0.544089,8
-1.071510,-1.284311,3
1.544391,-0.818218,6
3.615137,2.422958,1
-4.477319,2.235295,0
-0.712962,-0.790502,3
4.178749,0.970985,1
-5.144851,3.869788,0
-1.344010,0.653741,0
4.203550,1.547793,1
1.640685,-1.877482,7
-0.629535,2.350852,2
-2.085626,-3.431599,7
-1.101377,2.418213,3
-2.715192,0.263119,0
-0.066712,-2.457286,4
-0.406326,0.891457,6
-0.483299,0.550430,5
-0.709162,3.440474,2
-2.331773,0.439872,6
-3.243871,-0.136709,4
0.131996,-3.412565,7
-0.109644,-0.906517,1
-0.474550,1.173354,8
0.308337,-3.279403,9
1.347975,-2.959141,9
0.283942,-0.622107,3
-4.571750,1.601180,0
1.359660,-2.212882,7
4.190704,1.958531,1
-0.396220,0.082565,0
0.637680,1.495576,2
-3.457787,1.236794,0
-0.640273,2.014397,3
0.154443,-0.485828,5
-0.224065,-2.872771,4
-0.605384,-0.161767,6
0.502311,0.793631,5
2.606674,-0.327653,8
-2.976647,0.391230,6
-2.282566,3.448989,3
-0.669144,-4.390738,7
-4.250311,0.154615,5
0.334513,1.196385,8
-1.007018,1.526459,0
1.215857,-2.567500,9
2.111591,0.025654,1
-3.799301,2.623576,0
0.119202,-0.689014,3
4.200068,0.938808,1
1.826583,3.010312,2
-1.223461,2.465842,2
-0.709268,2.162623,3
0.092738,1.703887,3
3.285666,1.297662,6
0.631927,-2.511225,4
1.526140,-1.970461,7
0.968437,-0.177774,5
0.474903,0.430518,0
-1.197367,-0.034059,6
0.688464,2.067579,2
-0.515157,-4.156437,7
-0.048814,-1.261991,9
-0.324124,-0.112842,8
-1.292220,2.656956,5
0.926558,-3.002928,9
1.801146,-1.310049,2
4.138390,2.331910,1
3.611911,1.083595,1
